cell_id,bs_lat,bs_lon,plmn,name,bs_is_5g,bs_has_dss,bs_band,bs_sector,bs_band_num,bs_sector_num,bs_bands_all,source_file,dem_alt_m,dem_file
52894507,43.3449255,12.501708,22201,B3 S3 Gubbio Loc. San Martino in Colle,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,629.8947143554688,w48075_s10.tif
52894527,43.3449255,12.501708,22201,B20 S3 Gubbio Loc. San Martino in Colle,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,629.8947143554688,w48075_s10.tif
52998953,43.0936901,12.4467966,22201,B3 S1 Perugia Ponte San Giovanni Strada di Monte Vile,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,189.9716033935547,w47575_s10.tif
52998954,43.0936901,12.4467966,22201,B3 S2 Perugia Ponte San Giovanni Strada di Monte Vile,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,189.9716033935547,w47575_s10.tif
52998955,43.0936901,12.4467966,22201,B3 S3 Perugia Ponte San Giovanni Strada di Monte Vile,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,189.9716033935547,w47575_s10.tif
53013781,43.2966913,12.3411221,22201,B7 S1 Umbertide ZI Via dei Carrai,0,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53013783,43.2966913,12.3411221,22201,B7 S3 Umbertide ZI Via dei Carrai,0,0,B7,S3,7.0,3.0,B7,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53013791,43.2966913,12.3411221,22201,B1 S1 Umbertide ZI Via dei Carrai,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53013793,43.2966913,12.3411221,22201,B1 S3 Umbertide ZI Via dei Carrai,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53013801,43.2966913,12.3411221,22201,B3 S1 Umbertide ZI Via dei Carrai,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53013803,43.2966913,12.3411221,22201,B3 S3 Umbertide ZI Via dei Carrai,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53013823,43.2966913,12.3411221,22201,B20 S3 Umbertide ZI Via dei Carrai,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,238.55259704589844,w47575_s10.tif
53219901,43.0545009,12.3402391,22201,B20 S1 DSS Perugia Loc. Pila,0,1,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,291.82489013671875,w47575_s10.tif
53219903,43.0545009,12.3402391,22201,B20 S3 DSS Perugia Loc. Pila,0,1,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,291.82489013671875,w47575_s10.tif
53431071,43.0506719,12.560037,22201,B1 S1 Assisi ZI Santa Maria degli Angeli,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431072,43.0506719,12.560037,22201,B1 S2 Assisi ZI Santa Maria degli Angeli,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431073,43.0506719,12.560037,22201,B1 S3 Assisi ZI Santa Maria degli Angeli,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431081,43.0506719,12.560037,22201,B3 S1 Assisi ZI Santa Maria degli Angeli,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431082,43.0506719,12.560037,22201,B3 S2 Assisi ZI Santa Maria degli Angeli,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431083,43.0506719,12.560037,22201,B3 S3 Assisi ZI Santa Maria degli Angeli,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431101,43.0506719,12.560037,22201,B20 S1 Assisi ZI Santa Maria degli Angeli,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431102,43.0506719,12.560037,22201,B20 S2 Assisi ZI Santa Maria degli Angeli,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53431103,43.0506719,12.560037,22201,B20 S3 Assisi ZI Santa Maria degli Angeli,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,200.10870361328125,w47575_s10.tif
53514271,43.0845605,12.441332,22201,B1 S1 Perugia ZI Molinaccio,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,189.59829711914062,w47575_s10.tif
53514272,43.0845605,12.441332,22201,B1 S2 Perugia ZI Molinaccio,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,189.59829711914062,w47575_s10.tif
53514281,43.0845605,12.441332,22201,B3 S1 Perugia ZI Molinaccio,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,189.59829711914062,w47575_s10.tif
53514282,43.0845605,12.441332,22201,B3 S2 Perugia ZI Molinaccio,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,189.59829711914062,w47575_s10.tif
53514301,43.0845605,12.441332,22201,B20 S1 Perugia ZI Molinaccio,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,189.59829711914062,w47575_s10.tif
53514302,43.0845605,12.441332,22201,B20 S2 Perugia ZI Molinaccio,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,189.59829711914062,w47575_s10.tif
53548063,43.1851243,12.6526876,22201,B1 S1 Casacastalda Vocabolo Montespinoso,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53548064,43.1851243,12.6526876,22201,B1 S2 Casacastalda Vocabolo Montespinoso,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53548065,43.1851243,12.6526876,22201,B1 S3 Casacastalda Vocabolo Montespinoso,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53548073,43.1851243,12.6526876,22201,B3 S1 Casacastalda Vocabolo Montespinoso,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53548074,43.1851243,12.6526876,22201,B3 S2 Casacastalda Vocabolo Montespinoso,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53548075,43.1851243,12.6526876,22201,B3 S3 Casacastalda Vocabolo Montespinoso,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53548093,43.1851243,12.6526876,22201,B20 S1 Casacastalda Vocabolo Montespinoso,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,652.4677734375,w47575_s10.tif
53744681,43.0942503,12.4028316,22201,B3 S1 Perugia Galleria Pallotta,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,310.5356140136719,w47575_s10.tif
53744701,43.0942503,12.4028316,22201,B20 S1 Perugia Galleria Pallotta,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,310.5356140136719,w47575_s10.tif
204807977,43.1230137,12.379729,22201,B3 S1 5G Perugia IRITEL Via Monterapido,1,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,484.9750061035156,w47575_s10.tif
204807978,43.1230137,12.379729,22201,B3 S2 5G Perugia IRITEL Via Monterapido,1,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,484.9750061035156,w47575_s10.tif
204807997,43.1230137,12.379729,22201,B20 S1 5G Perugia IRITEL Via Monterapido,1,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,484.9750061035156,w47575_s10.tif
204808213,43.1134796,12.3792238,22201,B7 S1 Perugia Telecom Via del Coppetta,0,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,379.52191162109375,w47575_s10.tif
204808214,43.1134796,12.3792238,22201,B7 S2 Perugia Telecom Via del Coppetta,0,0,B7,S2,7.0,2.0,B7,tim_lteitaly.clf,379.52191162109375,w47575_s10.tif
204808215,43.1134796,12.3792238,22201,B7 S3 Perugia Telecom Via del Coppetta,0,0,B7,S3,7.0,3.0,B7,tim_lteitaly.clf,379.52191162109375,w47575_s10.tif
