mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
222,1,20301,204852009,800203,41,397,13,-87,,43.06283723,12.55091237,26.8,1,166.5,260.3,"2026-04-17T09:32:56.553Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-121,-14,-87,,,,,,,,,,,,,,,,1350
222,1,20301,204852029,800203,61,36,16,-81,,43.06269404,12.55090268,39.66,0,0,260.3,"2026-04-17T09:33:43.505Z",LTE,false,"2026-04-17T09:33:43.505Z","Xiaomi Redmi Note 7",-113,-13,-81,14,,,,,,,,,,,,,,,6300
222,1,20301,204852009,800203,41,397,20,-73,,43.06279484,12.55093993,26.8,1.02,318.2,260.57,"2026-04-17T09:34:48.438Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-105,-12,-73,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,20,-73,,43.06212089,12.55049331,6.43,4.13,277.9,271.22,"2026-04-17T09:34:55.523Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-105,-12,-73,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,25,-63,4,43.06220338,12.54983093,6.43,2.62,271.5,268.87,"2026-04-17T09:35:07.523Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-97,-10,-63,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,25,-63,4,43.06201734,12.55042693,6.43,7.83,106.4,268.25,"2026-04-17T09:35:16.535Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-92,-11,-63,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,25,-63,4,43.06188616,12.55098500,9.65,8.21,111,265.11,"2026-04-17T09:35:21.542Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-92,-11,-63,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,25,-63,4,43.06171489,12.55152715,10.72,9.5,112.5,263.78,"2026-04-17T09:35:26.537Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-92,-11,-63,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,22,-69,4,43.06156521,12.55216302,10.72,8.2,108.6,264.06,"2026-04-17T09:35:33.548Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-99,-9,-69,,,,,,,,,,,,,,,,1350
222,1,20301,204852009,800203,41,397,28,-57,5,43.06137415,12.55274225,11.79,7.79,117.1,264.2,"2026-04-17T09:35:41.568Z",LTE,false,"2026-04-17T09:32:56.553Z","Xiaomi Redmi Note 7",-85,-8,-57,,,,,,,,,,,,,,,,1350
