feature,n,pointbiserial_r,pointbiserial_p,anova_f,anova_p,mutual_info,abs_pointbiserial_r
dist_bs_m,41036,-0.2659665528596208,0.0,3123.6317026079732,0.0,0.07013109525106143,0.2659665528596208
lat,43076,0.018957786867535964,8.323748247768526e-05,15.486261309613628,8.323749175856165e-05,0.06865052826032136,0.018957786867535964
delta_alt_m,41036,0.011851888958855358,0.016355290616761206,5.7647437926941505,0.01635529061674698,0.0673075791555584,0.011851888958855358
lon,43076,-0.05902661197137188,1.4637821995835818e-34,150.6005998125309,1.463782143140942e-34,0.06727460327365975,0.05902661197137188
dem_alt_m,43076,-0.06092107352641222,1.0442926405853606e-36,160.4593868056236,1.0442926406425638e-36,0.058242779801439104,0.06092107352641222
bs_dem_alt_m,41036,-0.0697235892825474,2.1246430506982727e-45,200.4563159881711,2.1246430507089165e-45,0.04199345180455949,0.0697235892825474
bs_is_5g,41036,0.09289591395266145,2.5040587926893004e-79,357.1915303069619,2.5040587926885777e-79,0.006945223197144745,0.09289591395266145
bs_band_num,41036,-0.07100195766282551,5.111147976471464e-47,207.91194302446377,5.111147976472103e-47,0.00450748796533218,0.07100195766282551
bs_has_dss,41036,-0.05729699736011509,3.4160873098969194e-31,135.15611253308427,3.4160873098962406e-31,0.004095371591312125,0.05729699736011509
bs_sector_num,41036,0.009992747484142382,0.04294400959903991,4.097859355407256,0.042944009598354635,0.0015727152250866183,0.009992747484142382
