method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
0_CH_v1,0_CH,1,-120.0,0.9833632636465286,0.999552264508352,0.9913916786226686,0.9829383886255925,29022.0,491.0,14.0,13.0,29540.0,127114,122962,32210,1.8210014140004205,0.7627838749999682,2.5837852890003887,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-115.0,0.9350030836702529,0.9946420761043884,0.9639009572251068,0.9308056872037914,27289.0,1897.0,207.0,147.0,29540.0,127114,122962,32210,1.8210014140004205,0.7627838749999682,2.5837852890003887,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-110.0,0.8761614623000762,0.9471820838993866,0.910288619414057,0.8464793500338524,23008.0,3252.0,1997.0,1283.0,29540.0,127114,122962,32210,1.8210014140004205,0.7627838749999682,2.5837852890003887,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-105.0,0.7810735133595937,0.8570089564674026,0.8172811918063315,0.7508801624915369,16458.0,4613.0,5723.0,2746.0,29540.0,127114,122962,32210,1.8210014140004205,0.7627838749999682,2.5837852890003887,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-100.0,0.769548409769812,0.6575825825825826,0.7091733462877501,0.7568043331076506,8759.0,2623.0,13597.0,4561.0,29540.0,127114,122962,32210,1.8210014140004205,0.7627838749999682,2.5837852890003887,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-120.0,0.9832822608103508,0.9994808610784246,0.9913153920087876,0.9827908716797605,28879.0,491.0,18.0,15.0,29403.0,127307,123153,32017,1.8383035890001338,0.7594620059999215,2.5977655950000553,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-115.0,0.9360853113175095,0.9955002743735138,0.9648790000886446,0.9326259225249124,27212.0,1858.0,210.0,123.0,29403.0,127307,123153,32017,1.8383035890001338,0.7594620059999215,2.5977655950000553,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-110.0,0.8754113415474095,0.9461538461538461,0.9094089120324363,0.8449818045777642,22878.0,3256.0,1967.0,1302.0,29403.0,127307,123153,32017,1.8383035890001338,0.7594620059999215,2.5977655950000553,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-105.0,0.7824150836136246,0.8587770382695508,0.8188195632235196,0.7514199231370948,16516.0,4593.0,5578.0,2716.0,29403.0,127307,123153,32017,1.8383035890001338,0.7594620059999215,2.5977655950000553,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_CH_v1,0_CH,1,-100.0,0.7742593578144403,0.6551827666441492,0.7097613530105298,0.757201646090535,8729.0,2545.0,13535.0,4594.0,29403.0,127307,123153,32017,1.8383035890001338,0.7594620059999215,2.5977655950000553,3,percentile,97.0,3.5,0.0007,5.0,3,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
