method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_k_neighbors,param_power,param_epsilon,param_outlier_strategy,param_outlier_mad_k,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
3_idw_v1,3_idw,1,-120.0,0.9863202379089059,0.9980361102312322,0.9921435881287884,0.9845079167960261,31508.0,437.0,203.0,62.0,32210.0,127114,111369,32210,0.3871928029998344,0.4641589849998127,0.8513517879996471,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-115.0,0.9658583070452156,0.9866071428571429,0.9761224760892667,0.9553554796647004,29393.0,1039.0,1379.0,399.0,32210.0,127114,111369,32210,0.3871928029998344,0.4641589849998127,0.8513517879996471,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-110.0,0.9241199478487614,0.942338372711388,0.9331402456226139,0.889630549518783,24808.0,2037.0,3847.0,1518.0,32210.0,127114,111369,32210,0.3871928029998344,0.4641589849998127,0.8513517879996471,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-105.0,0.8803559338427314,0.8782747141409756,0.8793140925009056,0.8448618441477802,18204.0,2474.0,9009.0,2523.0,32210.0,127114,111369,32210,0.3871928029998344,0.4641589849998127,0.8513517879996471,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-100.0,0.8530481918764387,0.8016748080949058,0.8265640176997517,0.8503259857187209,11488.0,1979.0,15901.0,2842.0,32210.0,127114,111369,32210,0.3871928029998344,0.4641589849998127,0.8513517879996471,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-120.0,0.9870236220472441,0.9983116179796757,0.9926355300042763,0.9854764656276354,31338.0,412.0,214.0,53.0,32017.0,127307,111593,32017,0.38881622799999604,0.46018201400011094,0.848998242000107,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-115.0,0.9639773742185174,0.9826679255462638,0.9732329220031057,0.9499328481744074,29142.0,1089.0,1272.0,514.0,32017.0,127307,111593,32017,0.38881622799999604,0.46018201400011094,0.848998242000107,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-110.0,0.9206307881132145,0.9467946756425949,0.9335294450415794,0.8899022394353,24753.0,2134.0,3739.0,1391.0,32017.0,127307,111593,32017,0.38881622799999604,0.46018201400011094,0.848998242000107,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-105.0,0.8765675299091914,0.8819065113356214,0.8792289156626505,0.8434581628509854,18244.0,2569.0,8761.0,2443.0,32017.0,127307,111593,32017,0.38881622799999604,0.46018201400011094,0.848998242000107,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_idw_v1,3_idw,1,-100.0,0.8496561004784688,0.7971522760749106,0.8225672203524771,0.8468626042414967,11365.0,2011.0,15749.0,2892.0,32017.0,127307,111593,32017,0.38881622799999604,0.46018201400011094,0.848998242000107,4,24,1.0,1e-12,mad,2.5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
