method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
2_kriging_v1,2_kriging,1,-120.0,0.986336032388664,0.9877732024073488,0.9870540942613871,0.9746041601986961,31184.0,432.0,208.0,386.0,32210.0,127114,115064,32210,6.708895262000169,29.751297269999668,36.46019253199984,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9647140679875422,0.97734291084855,0.970987427885417,0.945979509469109,29117.0,1065.0,1353.0,675.0,32210.0,127114,115064,32210,6.708895262000169,29.751297269999668,36.46019253199984,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9209950998869205,0.9281318848286865,0.9245497199939459,0.8761875194039118,24434.0,2096.0,3788.0,1892.0,32210.0,127114,115064,32210,6.708895262000169,29.751297269999668,36.46019253199984,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8735693501454899,0.8690596806098326,0.8713086801944518,0.8348028562558212,18013.0,2607.0,8876.0,2714.0,32210.0,127114,115064,32210,6.708895262000169,29.751297269999668,36.46019253199984,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8426923370769348,0.7697138869504536,0.8045515883146722,0.8336230984166408,11030.0,2059.0,15821.0,3300.0,32210.0,127114,115064,32210,6.708895262000169,29.751297269999668,36.46019253199984,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.9862767731178659,0.9798986970787805,0.983077390178814,0.9669238217197114,30760.0,428.0,198.0,631.0,32017.0,127307,115183,32017,6.699098479999975,29.261057537999932,35.96015601799991,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9630111834418295,0.9727205287294308,0.9678415057623593,0.9401255582971546,28847.0,1108.0,1253.0,809.0,32017.0,127307,115183,32017,6.699098479999975,29.261057537999932,35.96015601799991,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9184054346608936,0.9411337209302325,0.929630679134788,0.8836555579848205,24605.0,2186.0,3687.0,1539.0,32017.0,127307,115183,32017,6.699098479999975,29.261057537999932,35.96015601799991,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8691403415412897,0.8684681200754096,0.8688041007785675,0.830527532248493,17966.0,2705.0,8625.0,2721.0,32017.0,127307,115183,32017,6.699098479999975,29.261057537999932,35.96015601799991,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8352140980058742,0.7579434663673985,0.7947049089906233,0.8256238873098667,10806.0,2132.0,15628.0,3451.0,32017.0,127307,115183,32017,6.699098479999975,29.261057537999932,35.96015601799991,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.9866385372714487,0.9883128942396977,0.9874750059985604,0.9754183279439927,30866.0,418.0,204.0,365.0,31853.0,127471,115292,31853,6.734228875000099,30.696727398999883,37.43095627399998,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9636284547948872,0.9795578231292517,0.9715278480585635,0.9470065613913917,28799.0,1087.0,1366.0,601.0,31853.0,127471,115292,31853,6.734228875000099,30.696727398999883,37.43095627399998,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9191961561928005,0.930659047913208,0.9248920863309353,0.8770916397199636,24105.0,2119.0,3833.0,1796.0,31853.0,127471,115292,31853,6.734228875000099,30.696727398999883,37.43095627399998,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8727896154788146,0.8668872238980248,0.8698284068441994,0.8325746397513578,17818.0,2597.0,8702.0,2736.0,31853.0,127471,115292,31853,6.734228875000099,30.696727398999883,37.43095627399998,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8420114675344801,0.7722427515633883,0.805619393579954,0.8353687250808401,10867.0,2039.0,15742.0,3205.0,31853.0,127471,115292,31853,6.734228875000099,30.696727398999883,37.43095627399998,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.987195613610708,0.9843699749147745,0.9857807694165768,0.9721459890855179,30608.0,397.0,210.0,486.0,31701.0,127623,115342,31701,6.794084319999911,33.37124718899986,40.16533150899977,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9639864023425667,0.9764088228275322,0.9701578483842558,0.9444181571559257,28641.0,1070.0,1298.0,692.0,31701.0,127623,115342,31701,6.794084319999911,33.37124718899986,40.16533150899977,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9212019009658132,0.9269214453742625,0.9240528227899198,0.8753667076748367,24036.0,2056.0,3714.0,1895.0,31701.0,127623,115342,31701,6.794084319999911,33.37124718899986,40.16533150899977,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.878337259521005,0.8697574962336589,0.8740263228579102,0.8372606542380366,17897.0,2479.0,8645.0,2680.0,31701.0,127623,115342,31701,6.794084319999911,33.37124718899986,40.16533150899977,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8520388349514563,0.7702569863783176,0.8090865508721466,0.8366928488060313,10970.0,1905.0,15554.0,3272.0,31701.0,127623,115342,31701,6.794084319999911,33.37124718899986,40.16533150899977,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.986331911593641,0.9867464037497979,0.9865391141347382,0.9735916051104841,30525.0,423.0,185.0,410.0,31543.0,127781,115433,31543,6.790907453999807,37.0077199049997,43.79862735899951,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9626294310094775,0.9781014393420151,0.9703037617501572,0.9446152870684462,28541.0,1108.0,1255.0,639.0,31543.0,127781,115433,31543,6.790907453999807,37.0077199049997,43.79862735899951,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9202946053291173,0.9278438690615037,0.9240538186042009,0.875630092255017,23866.0,2067.0,3754.0,1856.0,31543.0,127781,115433,31543,6.790907453999807,37.0077199049997,43.79862735899951,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8762738695953299,0.8681140952754361,0.8721748978285488,0.8353992961988397,17713.0,2501.0,8638.0,2691.0,31543.0,127781,115433,31543,6.790907453999807,37.0077199049997,43.79862735899951,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8487937743190661,0.770486012998022,0.8077464267199881,0.8353992961988397,10907.0,1943.0,15444.0,3249.0,31543.0,127781,115433,31543,6.790907453999807,37.0077199049997,43.79862735899951,6,spherical,12,0.01,mad,98.0,3.5,0.0007,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
