method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_scope,param_min_samples,param_feature_set,param_model,param_random_state,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
4_ml_v1,4_ml,1,-120.0,0.9885230953054743,0.9958188153310105,0.9921575434333233,0.9845700093138777,31438.0,365.0,275.0,132.0,32210.0,127114,127114,32210,41.70635290300015,0.19974384399984046,41.90609674699999,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-115.0,0.9710753363525173,0.9860365198711063,0.9784987425678264,0.9599192797267929,29376.0,875.0,1543.0,416.0,32210.0,127114,127114,32210,41.70635290300015,0.19974384399984046,41.90609674699999,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-110.0,0.9393440783815116,0.954151789105827,0.9466900333540619,0.9121701334989134,25119.0,1622.0,4262.0,1207.0,32210.0,127114,127114,32210,41.70635290300015,0.19974384399984046,41.90609674699999,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-105.0,0.9039328839532516,0.8993100786413857,0.901615555770533,0.8737038186898479,18640.0,1981.0,9502.0,2087.0,32210.0,127114,127114,32210,41.70635290300015,0.19974384399984046,41.90609674699999,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-100.0,0.8784633817582747,0.8186322400558269,0.8474931368299379,0.8689226948152747,11731.0,1623.0,16257.0,2599.0,32210.0,127114,127114,32210,41.70635290300015,0.19974384399984046,41.90609674699999,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-120.0,0.9880933581783153,0.9966550922238858,0.9923557585561582,0.9849454977043446,31286.0,377.0,249.0,105.0,32017.0,127307,127307,32017,44.74212678799995,0.21058019099973535,44.952706978999686,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-115.0,0.9689960955595261,0.9874898840032371,0.9781555830188049,0.9591467033138645,29285.0,937.0,1424.0,371.0,32017.0,127307,127307,32017,44.74212678799995,0.21058019099973535,44.952706978999686,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-110.0,0.9370944887761951,0.9612530599755202,0.9490200521128356,0.9156698004185276,25131.0,1687.0,4186.0,1013.0,32017.0,127307,127307,32017,44.74212678799995,0.21058019099973535,44.952706978999686,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-105.0,0.8996960486322189,0.901435684246145,0.9005650263196021,0.8713808289346284,18648.0,2079.0,9251.0,2039.0,32017.0,127307,127307,32017,44.74212678799995,0.21058019099973535,44.952706978999686,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-100.0,0.8709965738120066,0.8202286596058077,0.8448506303507568,0.8658525158509541,11694.0,1732.0,16028.0,2563.0,32017.0,127307,127307,32017,44.74212678799995,0.21058019099973535,44.952706978999686,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-120.0,0.988022239872915,0.9957414107777529,0.9918668070041146,0.9839889492355508,31098.0,377.0,245.0,133.0,31853.0,127471,127471,31853,43.07084659700013,0.2569257279997146,43.32777232499984,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-115.0,0.9703922028335064,0.9854761904761905,0.9778760315237017,0.95884218127021,28973.0,884.0,1569.0,427.0,31853.0,127471,127471,31853,43.07084659700013,0.2569257279997146,43.32777232499984,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-110.0,0.9375590938315495,0.9571059032469789,0.9472316686408621,0.9132891721344928,24790.0,1651.0,4301.0,1111.0,31853.0,127471,127471,31853,43.07084659700013,0.2569257279997146,43.32777232499984,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-105.0,0.9016617790811339,0.8975381920794006,0.899595260155069,0.8707186136313692,18448.0,2012.0,9287.0,2106.0,31853.0,127471,127471,31853,43.07084659700013,0.2569257279997146,43.32777232499984,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-100.0,0.8738310708898944,0.823408186469585,0.8478706278355042,0.8694628449439613,11587.0,1673.0,16108.0,2485.0,31853.0,127471,127471,31853,43.07084659700013,0.2569257279997146,43.32777232499984,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-120.0,0.9886708153821605,0.996333697819515,0.9924874657611047,0.9852055140216397,30980.0,355.0,252.0,114.0,31701.0,127623,127623,31701,42.84032281400005,0.1990281229991524,43.0393509369992,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_ml_v1,4_ml,1,-115.0,0.9716889142933997,0.9852043773224696,0.9783999729153265,0.9597489038200687,28899.0,842.0,1526.0,434.0,31701.0,127623,127623,31701,42.84032281400005,0.1990281229991524,43.0393509369992,global,20,global_poly,rf,42,600,,1,2,50,50,none,99.0,4.0,0.0007,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
