method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_scope,param_min_samples,param_feature_set,param_model,param_random_state,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,param_outlier_strategy,param_outlier_min_keep,repeat_id
4_ml_v1,4_ml,1,5.064375614867797,6.616123475075875,0.6098528313289457,0.7816118171237568,0.7662026038991188,47783,111541,111541,47783,0.8135988809999617,0.04696067400072934,0.860559555000691,global,20,baseline,rf,42,120,12,3,2,100,200,none,20,0
4_ml_v2,4_ml,2,4.436981305808525,5.959137800684969,0.6834895068304356,0.8270024161981648,0.8116562683915615,47783,111541,111541,47783,1.1332697120005832,0.0458313109993469,1.1791010229999301,global,20,baseline,rf,42,120,20,3,2,100,200,none,20,0
4_ml_v3,4_ml,3,5.04623002295327,6.589715759330756,0.612961096761212,0.783683259040386,0.7677737765301476,47783,111541,111541,47783,2.0786798469998757,0.06637407600010192,2.1450539229999777,global,20,baseline,rf,42,300,12,3,2,100,200,none,20,0
4_ml_v4,4_ml,4,4.431697452752837,5.951264421043875,0.6843253193595403,0.8274961608007613,0.8119782577542872,47783,111541,111541,47783,2.706092366000121,0.0778260440001759,2.7839184100002967,global,20,baseline,rf,42,300,20,3,2,100,200,none,20,0
4_ml_v5,4_ml,5,6.359833589862221,8.09242816033297,0.41631442367186733,0.6786453645138669,0.6599700585441836,47783,111541,111541,47783,0.13397559599980013,0.0241135709993614,0.15808916699916153,global,20,baseline,et,42,120,12,3,2,100,200,none,20,0
4_ml_v6,4_ml,6,4.831928911571978,6.233435922740047,0.6536810508784381,0.8120793616506718,0.7961870910851699,47783,111541,111541,47783,0.17598329600059515,0.04573144799996953,0.22171474400056468,global,20,baseline,et,42,120,20,3,2,100,200,none,20,0
4_ml_v7,4_ml,7,6.316516515375232,8.040566594731395,0.423771728087012,0.6860825215834887,0.6677618477365896,47783,111541,111541,47783,0.21450392699989607,0.08738645199991879,0.30189037899981486,global,20,baseline,et,42,300,12,3,2,100,200,none,20,0
4_ml_v8,4_ml,8,4.82417105842132,6.225768737630354,0.6545324780867976,0.812533266087542,0.7965447833459185,47783,111541,111541,47783,0.44422803799989197,0.08998587600035535,0.5342139140002473,global,20,baseline,et,42,300,20,3,2,100,200,none,20,0
4_ml_v9,4_ml,9,4.933152191897785,6.361913836460207,0.6392579060760729,0.8011609492666696,0.7720123751970395,47783,111541,111541,47783,1.6095516280001902,0.02501796800061129,1.6345695960008015,global,20,geo_dist_alt,rf,42,120,12,3,2,100,200,none,20,0
4_ml_v10,4_ml,10,3.983517956026639,5.3126879549685,0.748435200364236,0.8652155046221247,0.8519315022734656,47783,111541,111541,47783,1.9310120910004116,0.03629737400024169,1.9673094650006533,global,20,geo_dist_alt,rf,42,120,20,3,2,100,200,none,20,0
4_ml_v11,4_ml,11,4.924829423000083,6.351562949498287,0.6404308119366067,0.8018982981401519,0.773053540758051,47783,111541,111541,47783,3.282225546000518,0.08759199700034515,3.3698175430008632,global,20,geo_dist_alt,rf,42,300,12,3,2,100,200,none,20,0
4_ml_v12,4_ml,12,3.9759397710259976,5.301586762455822,0.7494854226116525,0.865831607082857,0.8526012997759117,47783,111541,111541,47783,4.746633861000191,0.09105182099938247,4.837685681999574,global,20,geo_dist_alt,rf,42,300,20,3,2,100,200,none,20,0
4_ml_v13,4_ml,13,5.948257990438563,7.531921807529666,0.494369967416033,0.71132554929271,0.6829326503363418,47783,111541,111541,47783,0.1502772300000288,0.058237020999513334,0.20851425099954213,global,20,geo_dist_alt,et,42,120,12,3,2,100,200,none,20,0
4_ml_v14,4_ml,14,4.549309295164213,5.844850539369809,0.6955134759900377,0.8373133966185999,0.8231271757781584,47783,111541,111541,47783,0.24738008399981481,0.04733016600039264,0.29471025000020745,global,20,geo_dist_alt,et,42,120,20,3,2,100,200,none,20,0
4_ml_v15,4_ml,15,5.956563211664429,7.542525910132196,0.49294522423485754,0.7104367469895274,0.6820812392421967,47783,111541,111541,47783,0.34202158599964605,0.07638234800015198,0.41840393399979803,global,20,geo_dist_alt,et,42,300,12,3,2,100,200,none,20,0
4_ml_v16,4_ml,16,4.55688232993807,5.852422841903083,0.6947240092228788,0.8369796537395009,0.8227755248972535,47783,111541,111541,47783,0.7024997319995236,0.07998298600068665,0.7824827180002103,global,20,geo_dist_alt,et,42,300,20,3,2,100,200,none,20,0
4_ml_v17,4_ml,17,4.8328564904243265,6.269765259850504,0.64963249676201,0.8079765855171658,0.7794137432217934,47783,111541,111541,47783,1.6257105439999577,0.04992661399955978,1.6756371579995175,global,20,bs_context,rf,42,120,12,3,2,100,200,none,20,0
4_ml_v18,4_ml,18,3.8302894618179835,5.140731517747138,0.7644565121597582,0.8745509237264854,0.8600086380968038,47783,111541,111541,47783,2.158824007000476,0.03807597499962867,2.1968999820001045,global,20,bs_context,rf,42,120,20,3,2,100,200,none,20,0
4_ml_v19,4_ml,19,4.837016260740714,6.27371842659686,0.6491905351399324,0.8076838446781087,0.7789429489219872,47783,111541,111541,47783,4.023230101000081,0.08044817000063631,4.103678271000717,global,20,bs_context,rf,42,300,12,3,2,100,200,none,20,0
4_ml_v20,4_ml,20,3.8266315735912424,5.133064683046468,0.7651585625778974,0.8749624526155401,0.8603794964990622,47783,111541,111541,47783,5.327039150999553,0.06810960199982219,5.395148752999376,global,20,bs_context,rf,42,300,20,3,2,100,200,none,20,0
4_ml_v21,4_ml,21,5.6112460650916685,7.150378330573486,0.5442997168782712,0.7451011587942039,0.7180468314433786,47783,111541,111541,47783,0.2494901240006584,0.02676975200029119,0.2762598760009496,global,20,bs_context,et,42,120,12,3,2,100,200,none,20,0
