method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_scope,param_min_samples,param_feature_set,param_model,param_random_state,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,param_outlier_strategy,param_outlier_min_keep
4_ml_v1,4_ml,1,3.6243012935886867,4.887144725306047,0.7871215710626818,0.8874748382257579,0.8732048118453009,47783,111541,111541,47783,14.585096062000048,0.08443497400003253,14.66953103600008,global,20,global_poly,rf,42,300,20,1,2,100,200,none,20
4_ml_v2,4_ml,2,3.663662658363849,4.918545286560619,0.7843772379452493,0.8859832072068947,0.8715032263936054,47783,111541,111541,47783,14.912050341000395,0.07647552500020538,14.9885258660006,global,20,global_poly,rf,42,300,20,1,5,100,200,none,20
4_ml_v3,4_ml,3,3.7391513045221783,4.996497568316537,0.7774884203778153,0.8821666110772127,0.8675091622860415,47783,111541,111541,47783,14.697117327999877,0.07398167099927377,14.77109899899915,global,20,global_poly,rf,42,300,20,3,2,100,200,none,20
4_ml_v4,4_ml,4,3.7391513045221783,4.996497568316537,0.7774884203778153,0.8821666110772127,0.8675091622860652,47783,111541,111541,47783,14.70237363599972,0.07476164399940899,14.77713527999913,global,20,global_poly,rf,42,300,20,3,5,100,200,none,20
4_ml_v5,4_ml,5,3.3728679095484946,4.744357566642345,0.7993791426970649,0.8941343304401345,0.8820211176183573,47783,111541,111541,47783,18.187328119000085,0.13338678299987805,18.320714901999963,global,20,global_poly,rf,42,300,,1,2,100,200,none,20
4_ml_v6,4_ml,6,3.4437194318652096,4.76680969363609,0.7974758193926416,0.893024387291954,0.8807402966618049,47783,111541,111541,47783,17.26233725899965,0.13781632500013075,17.40015358399978,global,20,global_poly,rf,42,300,,1,5,100,200,none,20
4_ml_v7,4_ml,7,3.5774116958950777,4.864165076175238,0.7891187988679585,0.8883674387816889,0.8757882733729943,47783,111541,111541,47783,15.862607200000639,0.09854920599991601,15.961156406000555,global,20,global_poly,rf,42,300,,3,2,100,200,none,20
4_ml_v8,4_ml,8,3.5774116958950777,4.864165076175238,0.7891187988679587,0.8883674387816893,0.8757882739114813,47783,111541,111541,47783,16.28992126399953,0.0862645209999755,16.376185784999507,global,20,global_poly,rf,42,300,,3,5,100,200,none,20
4_ml_v9,4_ml,9,3.6212814984187807,4.88254978055397,0.7875216839443379,0.8877082664879303,0.8735293946179239,47783,111541,111541,47783,30.550403907000145,0.1483587599996099,30.698762666999755,global,20,global_poly,rf,42,600,20,1,2,100,200,none,20
4_ml_v10,4_ml,10,3.660474280073923,4.91334213547653,0.784833195682622,0.8862476891864214,0.8718350614388491,47783,111541,111541,47783,30.271961358000226,0.13951944000018557,30.41148079800041,global,20,global_poly,rf,42,600,20,1,5,100,200,none,20
4_ml_v11,4_ml,11,3.7362462601347506,4.991917480553176,0.7778961681870895,0.8824023057547112,0.8677997259878857,47783,111541,111541,47783,28.851092486999733,0.14389919200039003,28.994991679000123,global,20,global_poly,rf,42,600,20,3,2,100,200,none,20
4_ml_v12,4_ml,12,3.7362462601347506,4.991917480553176,0.7778961681870895,0.8824023057547107,0.8677997259878857,47783,111541,111541,47783,29.015760490000503,0.14527298899974994,29.161033479000253,global,20,global_poly,rf,42,600,20,3,5,100,200,none,20
4_ml_v13,4_ml,13,3.3699213183166252,4.739967651815088,0.799750236573372,0.8943375308404833,0.8822339120368989,47783,111541,111541,47783,36.013701439000215,0.25395870200009085,36.267660141000306,global,20,global_poly,rf,42,600,,1,2,100,200,none,20
4_ml_v14,4_ml,14,3.439823474687711,4.761188497976544,0.7979531855474469,0.893291032972962,0.8810228929313865,47783,111541,111541,47783,33.45236691700029,0.1760606400002871,33.62842755700058,global,20,global_poly,rf,42,600,,1,5,100,200,none,20
4_ml_v15,4_ml,15,3.574792623608934,4.8601275717641865,0.789468737819363,0.8885670323837191,0.8759790575982381,47783,111541,111541,47783,31.482501687000877,0.20869262300038827,31.691194310001265,global,20,global_poly,rf,42,600,,3,2,100,200,none,20
