method,method_group,variant,mae,rmse,r2,pearson,spearman,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_scope,param_min_samples,param_feature_set,param_model,param_random_state,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,param_outlier_strategy,param_outlier_min_keep,repeat_id
4_ml_v1,4_ml,1,10.506312616272922,12.872383548487367,-0.4768595623035794,-0.13493973864421296,-0.14425536491770377,47783,111541,111541,47783,0.31413216900000407,0.05775859000004857,0.37189075900005264,global,20,geo_dist_alt,rf,42,200,12.0,1,2,100,200,none,20,0
4_ml_v2,4_ml,2,10.756551492814788,13.193922433634308,-0.5515619092931334,-0.1362929554920824,-0.15183206498329682,47783,111541,111541,47783,0.4011022579998098,0.07838032800009387,0.4794825859999037,global,20,geo_dist_alt,rf,42,200,18.0,1,2,100,200,none,20,0
4_ml_v3,4_ml,3,10.875960792797548,13.337170784023643,-0.5854358740246304,-0.13108910779068061,-0.14306083542363396,47783,111541,111541,47783,0.45011990900002274,0.06853132499963976,0.5186512339996625,global,20,geo_dist_alt,rf,42,200,,1,2,100,200,none,20,0
4_ml_v4,4_ml,4,10.439399368137268,12.766466442838356,-0.45265563154193944,-0.17111567522286958,-0.20042857983129606,47783,111541,111541,47783,0.08922501799952443,0.04513474000032147,0.1343597579998459,global,20,geo_dist_alt,et,42,200,12.0,1,2,100,200,none,20,0
4_ml_v5,4_ml,5,10.794269251009908,13.219403653495405,-0.5575607117983918,-0.15651928406584953,-0.1773292983023252,47783,111541,111541,47783,0.12127642100040248,0.06836004300021159,0.18963646400061407,global,20,geo_dist_alt,et,42,200,18.0,1,2,100,200,none,20,0
4_ml_v6,4_ml,6,11.203386445615159,13.740758218265972,-0.6828393234570658,-0.15991963533370152,-0.18286381209516617,47783,111541,111541,47783,0.15738679800051614,0.04582528300034028,0.20321208100085641,global,20,geo_dist_alt,et,42,200,,1,2,100,200,none,20,0
4_ml_v7,4_ml,7,8.733988415289607,10.841701947113394,-0.04764991863477541,2.6983059823450087e-14,,47783,111541,111541,47783,0.010071408999465348,0.00035387000025366433,0.010425278999719012,global,20,geo_dist_alt,gb,42,200,12.0,1,2,100,200,none,20,0
4_ml_v8,4_ml,8,8.733988415289607,10.841701947113394,-0.04764991863477541,2.6983059823450087e-14,,47783,111541,111541,47783,0.010089280000102008,0.0003623789998528082,0.010451658999954816,global,20,geo_dist_alt,gb,42,200,18.0,1,2,100,200,none,20,0
4_ml_v9,4_ml,9,8.733988415289607,10.841701947113394,-0.04764991863477541,2.6983059823450087e-14,,47783,111541,111541,47783,0.010047673999906692,0.0003475170005913242,0.010395191000498016,global,20,geo_dist_alt,gb,42,200,,1,2,100,200,none,20,0
4_ml_v10,4_ml,10,10.723774637269363,13.177234314779575,-0.5476394556431374,-0.11069264049317139,-0.15338500179501063,47783,111541,111541,47783,0.3865829930000473,0.09555988200008869,0.482142875000136,global,20,bs_context,rf,42,200,12.0,1,2,100,200,none,20,0
4_ml_v11,4_ml,11,10.927887970107532,13.415419262462754,-0.6040937839417604,-0.10418201657071625,-0.13600461208697398,47783,111541,111541,47783,0.4681992639998498,0.06004570499953843,0.5282449689993882,global,20,bs_context,rf,42,200,18.0,1,2,100,200,none,20,0
4_ml_v12,4_ml,12,11.029275969062368,13.525459697830607,-0.6305169781457294,-0.0966071887926605,-0.12231616376367788,47783,111541,111541,47783,0.5943337299995619,0.09074756800055184,0.6850812980001137,global,20,bs_context,rf,42,200,,1,2,100,200,none,20,0
4_ml_v13,4_ml,13,10.554882584891576,12.896507459469948,-0.4824002631444473,-0.11335671417634502,-0.14333805380309797,47783,111541,111541,47783,0.1417475510006625,0.0501751689998855,0.191922720000548,global,20,bs_context,et,42,200,12.0,1,2,100,200,none,20,0
4_ml_v14,4_ml,14,11.07920968969472,13.536348191111065,-0.6331432873164258,-0.09757804828514037,-0.1258006347927741,47783,111541,111541,47783,0.20135560400012764,0.07972607000010612,0.28108167400023376,global,20,bs_context,et,42,200,18.0,1,2,100,200,none,20,0
4_ml_v15,4_ml,15,11.222084135181687,13.731947715142066,-0.6806819595777676,-0.07956993284905836,-0.09982036221829933,47783,111541,111541,47783,0.21496414200009895,0.05791445700015174,0.2728785990002507,global,20,bs_context,et,42,200,,1,2,100,200,none,20,0
4_ml_v16,4_ml,16,8.733988415289607,10.841701947113394,-0.04764991863477541,2.6983059823450087e-14,,47783,111541,111541,47783,0.014178544000060356,0.0005590660002781078,0.014737610000338464,global,20,bs_context,gb,42,200,12.0,1,2,100,200,none,20,0
4_ml_v17,4_ml,17,8.733988415289607,10.841701947113394,-0.04764991863477541,2.6983059823450087e-14,,47783,111541,111541,47783,0.0140867319996687,0.0005558399998335517,0.014642571999502252,global,20,bs_context,gb,42,200,18.0,1,2,100,200,none,20,0
4_ml_v18,4_ml,18,8.733988415289607,10.841701947113394,-0.04764991863477541,2.6983059823450087e-14,,47783,111541,111541,47783,0.014105449999988195,0.0005281490002744249,0.01463359900026262,global,20,bs_context,gb,42,200,,1,2,100,200,none,20,0
4_ml_v19,4_ml,19,10.89925375624427,13.391531891280636,-0.5983864006819686,-0.09105309877988337,-0.1130416709402475,47783,111541,111541,47783,0.41662343600000895,0.05897648999962257,0.4755999259996315,global,20,global_strong,rf,42,200,12.0,1,2,100,200,none,20,0
