method,method_group,variant,threshold_dbm,tp,fp,tn,fn,precision,recall,f1,accuracy,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_mad_k,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_model,param_feature_set,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_learning_rate,param_subsample,param_colsample_bytree,param_class_weight,param_use_gpu,param_fit_progress_every,param_predict_progress_every
1_alpha_shape_v1,1_alpha_shape,1,-105.0,21337,10071,6885,9504,0.6793492103922567,0.6918387860315813,0.6855371170621215,0.5904554679163965,111527,108886,47797,8.120900699999993,0.8537182940001458,8.974618994000139,4,percentile,98.0,4.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v2,1_alpha_shape,2,-105.0,24561,12159,4797,6280,0.6688725490196078,0.7963749554164911,0.7270762718136203,0.6142226499571103,111527,108886,47797,8.677317621999919,0.8544172249999065,9.531734846999825,4,percentile,98.0,4.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v3,1_alpha_shape,3,-105.0,27100,14047,2909,3741,0.6586142367608817,0.8787004312441231,0.7529032616547201,0.627842751637132,111527,108886,47797,9.066687322000007,0.8400997680000728,9.90678709000008,4,percentile,98.0,4.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v1,1_alpha_shape,1,-110.0,26295,5113,3723,12666,0.8372070809984717,0.6749056749056749,0.7473461325299493,0.6280310479737222,111527,108886,47797,8.120900699999993,0.8520801150000352,8.972980815000028,4,percentile,98.0,4.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v2,1_alpha_shape,2,-110.0,30525,6195,2641,8436,0.8312908496732027,0.7834757834757835,0.8066753874816667,0.6938929221499257,111527,108886,47797,8.677317621999919,0.8587494620001053,9.536067084000024,4,percentile,98.0,4.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v3,1_alpha_shape,3,-110.0,34079,7068,1768,4882,0.8282256300580845,0.8746952080285414,0.8508263843810855,0.7499843086386175,111527,108886,47797,9.066687322000007,0.8430638699999236,9.90975119199993,4,percentile,98.0,4.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v1,1_alpha_shape,1,-115.0,29374,2034,1546,14843,0.9352394294447275,0.6643146301196372,0.7768330578512397,0.6469025252630918,111527,108886,47797,8.120900699999993,0.8365561900000102,8.957456890000003,4,percentile,98.0,4.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v2,1_alpha_shape,2,-115.0,34306,2414,1166,9911,0.9342592592592592,0.7758554402153018,0.8477210670027305,0.7421386279473607,111527,108886,47797,8.677317621999919,0.8242333420000705,9.501550963999989,4,percentile,98.0,4.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v3,1_alpha_shape,3,-115.0,38404,2743,837,5813,0.9333365737477823,0.8685347264626727,0.8997703950142918,0.8209929493482855,111527,108886,47797,9.066687322000007,0.8327795390000574,9.899466861000064,4,percentile,98.0,4.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v1,1_alpha_shape,1,-120.0,31014,394,521,15868,0.9874554253693326,0.6615332110404846,0.7922850938817217,0.6597694415967529,111527,108886,47797,8.120900699999993,0.8366753729999346,8.957576072999927,4,percentile,98.0,4.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v2,1_alpha_shape,2,-120.0,36194,526,389,10688,0.9856753812636165,0.7720233778422422,0.8658644530035167,0.7653827646086574,111527,108886,47797,8.677317621999919,0.8309981849999986,9.508315806999917,4,percentile,98.0,4.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1_alpha_shape_v3,1_alpha_shape,3,-120.0,40540,607,308,6342,0.985248013220891,0.8647242011859563,0.9210601051926071,0.8546143063372178,111527,108886,47797,9.066687322000007,0.8430659189998551,9.909753240999862,4,percentile,98.0,4.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
