method,method_group,variant,threshold_dbm,tp,fp,tn,fn,precision,recall,f1,accuracy,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_mad_k,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_model,param_feature_set,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_learning_rate,param_subsample,param_colsample_bytree,param_class_weight,param_use_gpu,param_fit_progress_every,param_predict_progress_every
0_CH_v1,0_CH,1,-105.0,29361,15972,984,1480,0.6476738799549997,0.9520119321682177,0.7708929556016488,0.6348724815364981,111527,111527,47797,0.4423790040000313,0.858578659000159,1.3009576630001902,3,none,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v2,0_CH,2,-105.0,29361,15972,984,1480,0.6476738799549997,0.9520119321682177,0.7708929556016488,0.6348724815364981,111527,111527,47797,0.44017534499994326,0.8295031469999685,1.2696784919999118,3,none,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v3,0_CH,3,-105.0,26419,13833,3123,4422,0.6563400576368876,0.8566194351674719,0.743223664777123,0.6180722639496202,111527,100168,47797,0.43569934799984367,0.8137182379998649,1.2494175859997085,3,percentile,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v4,0_CH,4,-105.0,27859,14755,2201,2982,0.6537522879804759,0.9033105281929898,0.7585324348240419,0.628909764211143,111527,105659,47797,0.43765183999994406,0.8259391389999564,1.2635909789999005,3,percentile,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v1,0_CH,1,-110.0,37079,8254,582,1882,0.8179251318024398,0.9516952850286183,0.879754193655539,0.7879364813691235,111527,111527,47797,0.4423790040000313,0.8564330889998928,1.298812092999924,3,none,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v2,0_CH,2,-110.0,37079,8254,582,1882,0.8179251318024398,0.9516952850286183,0.879754193655539,0.7879364813691235,111527,111527,47797,0.44017534499994326,0.828052673000002,1.2682280179999452,3,none,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v3,0_CH,3,-110.0,33158,7094,1742,5803,0.8237603100467058,0.8510561843895177,0.8371858154595837,0.730171349666297,111527,100168,47797,0.43569934799984367,0.8604347580001104,1.296134105999954,3,percentile,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v4,0_CH,4,-110.0,35046,7568,1268,3915,0.8224057821373257,0.8995148995148995,0.8592338338951885,0.7597547963261293,111527,105659,47797,0.43765183999994406,0.830072871999846,1.26772471199979,3,percentile,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v1,0_CH,1,-115.0,42012,3321,259,2205,0.9267421083978559,0.9501323020557704,0.9382914572864323,0.8843860493336402,111527,111527,47797,0.4423790040000313,0.8274921790000462,1.2698711830000775,3,none,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v2,0_CH,2,-115.0,42012,3321,259,2205,0.9267421083978559,0.9501323020557704,0.9382914572864323,0.8843860493336402,111527,111527,47797,0.44017534499994326,0.827477374999944,1.2676527199998873,3,none,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v3,0_CH,3,-115.0,37401,2851,729,6816,0.9291712213057737,0.8458511432254563,0.8855556476340434,0.7977488126869887,111527,100168,47797,0.43569934799984367,0.8314055270000154,1.267104874999859,3,percentile,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v4,0_CH,4,-115.0,39599,3015,565,4618,0.9292486037452481,0.895560531017482,0.9120936071218806,0.8403037847563655,111527,105659,47797,0.43765183999994406,0.8249756719999368,1.2626275119998809,3,percentile,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v1,0_CH,1,-120.0,44525,808,107,2357,0.9821763395319083,0.9497248410903971,0.9656780350268395,0.9337824549657928,111527,111527,47797,0.4423790040000313,0.8288182329999927,1.271197237000024,3,none,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v2,0_CH,2,-120.0,44525,808,107,2357,0.9821763395319083,0.9497248410903971,0.9656780350268395,0.9337824549657928,111527,111527,47797,0.44017534499994326,0.820798626999931,1.2609739719998743,3,none,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v3,0_CH,3,-120.0,39610,642,273,7272,0.9840504819636291,0.8448871635169148,0.90917437510042,0.8344247546917171,111527,100168,47797,0.43569934799984367,0.8352916019998702,1.2709909499997138,3,percentile,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CH_v4,0_CH,4,-120.0,41925,689,226,4957,0.9838316046369737,0.8942664562092061,0.9369133816036471,0.881875431512438,111527,105659,47797,0.43765183999994406,0.8208449639998889,1.258496803999833,3,percentile,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
