method,method_group,variant,threshold_dbm,tp,fp,tn,fn,precision,recall,f1,accuracy,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_mad_k,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_model,param_feature_set,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_learning_rate,param_subsample,param_colsample_bytree,param_class_weight,param_use_gpu,param_fit_progress_every,param_predict_progress_every
5_gpr_v1,5_gpr,1,-105.0,26205,5026,11930,4636,0.8390701546540297,0.8496806199539574,0.8443420543884522,0.7978534217628721,111527,101112,47797,19.502485324999725,0.5887807770000109,20.091266101999736,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v2,5_gpr,2,-105.0,26178,5025,11931,4663,0.83895779251995,0.8488051619597289,0.8438527496615305,0.7973094545682784,111527,101112,47797,20.98938874600026,0.5871286770002371,21.576517423000496,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,4.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v3,5_gpr,3,-105.0,26198,5032,11924,4643,0.8388728786423311,0.8494536493628612,0.8441301090686472,0.7975814381655753,111527,101112,47797,20.62707945200009,0.578381459999946,21.205460912000035,8,mad,,8.0,1e-06,,,,3.5,,,,0.003,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v4,5_gpr,4,-105.0,26187,5036,11920,4654,0.8387086442686481,0.8490969812911384,0.8438708430007734,0.797267610937925,111527,101112,47797,23.240757498999756,0.585937388000275,23.82669488700003,8,mad,,8.0,1e-06,,,,3.5,,,,0.003,4.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v1,5_gpr,1,-110.0,36194,4065,4771,2767,0.8990287885938548,0.9289802623135957,0.9137591517293613,0.8570621587128899,111527,101112,47797,19.502485324999725,0.5819864059999418,20.084471730999667,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v2,5_gpr,2,-110.0,36180,4062,4774,2781,0.8990606828686447,0.9286209286209286,0.9136017575091853,0.8568320187459464,111527,101112,47797,20.98938874600026,0.5859354229996825,21.57532416899994,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,4.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v3,5_gpr,3,-110.0,36188,4066,4770,2773,0.8989914045809112,0.9288262621595955,0.9136653411601339,0.8569157060066531,111527,101112,47797,20.62707945200009,0.5792499320000388,21.206329384000128,8,mad,,8.0,1e-06,,,,3.5,,,,0.003,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v4,5_gpr,4,-110.0,36130,4065,4771,2831,0.89886801841025,0.9273375940042606,0.9128808934256405,0.8557231625415821,111527,101112,47797,23.240757498999756,0.5851939670001229,23.82595146599988,8,mad,,8.0,1e-06,,,,3.5,,,,0.003,4.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v1,5_gpr,1,-115.0,43430,2066,1514,787,0.9545894144540179,0.9822014157450755,0.9681985888332795,0.9403100613009184,111527,101112,47797,19.502485324999725,0.5836640689999513,20.086149393999676,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v2,5_gpr,2,-115.0,43364,2033,1547,853,0.9552173051082671,0.9807087771671529,0.9677952105697769,0.9396196414000879,111527,101112,47797,20.98938874600026,0.5934790730002533,21.582867819000512,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,4.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v3,5_gpr,3,-115.0,43358,2043,1537,859,0.9550009911675954,0.9805730827509781,0.9676181124327702,0.9392848923572609,111527,101112,47797,20.62707945200009,0.5843891140002597,21.21146856600035,8,mad,,8.0,1e-06,,,,3.5,,,,0.003,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v4,5_gpr,4,-115.0,43419,2071,1509,798,0.9544735106616838,0.981952642648755,0.968018103381007,0.9399753122580915,111527,101112,47797,23.240757498999756,0.5810046859996874,23.821762184999443,8,mad,,8.0,1e-06,,,,3.5,,,,0.003,4.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v1,5_gpr,1,-120.0,46499,748,167,383,0.9841683069824539,0.9918305533040399,0.9879845743607178,0.9763374270351696,111527,101112,47797,19.502485324999725,0.5861231939998106,20.088608518999536,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,1.0,True,300.0,42.0,,,,,,,,,,,,,
5_gpr_v2,5_gpr,2,-120.0,46563,780,135,319,0.9835244914770928,0.9931956827780385,0.9883364287609446,0.9770069251208234,111527,101112,47797,20.98938874600026,0.5866210379999757,21.576009784000235,8,mad,,8.0,1e-06,,,,3.5,,,,0.001,4.0,True,300.0,42.0,,,,,,,,,,,,,
