method,method_group,variant,threshold_dbm,tp,fp,tn,fn,precision,recall,f1,accuracy,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_mad_k,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_model,param_feature_set,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_learning_rate,param_subsample,param_colsample_bytree,param_class_weight,param_use_gpu,param_fit_progress_every,param_predict_progress_every
4_ml_v1,4_ml,1,-105.0,26117,9861,7095,4724,0.7259158374562232,0.8468272753801758,0.7817237612056452,0.6948553256480532,111527,111527,47797,88.55866195899989,6.724732990999655,95.28339494999955,20,,,,,,,,,,,,,,,,42.0,rf,baseline,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v2,4_ml,2,-105.0,26117,9861,7095,4724,0.7259158374562232,0.8468272753801758,0.7817237612056452,0.6948553256480532,111527,111527,47797,101.13811135299966,19.083515585999976,120.22162693899963,20,,,,,,,,,,,,,,,,42.0,rf,enriched,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v3,4_ml,3,-105.0,25867,9610,7346,4974,0.7291202751078163,0.8387211828410233,0.7800898700202056,0.69487624746323,111527,111527,47797,70.3281644069998,26.093053717999737,96.42121812499954,20,,,,,,,,,,,,,,,,42.0,et,baseline,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v4,4_ml,4,-105.0,25867,9610,7346,4974,0.7291202751078163,0.8387211828410233,0.7800898700202056,0.69487624746323,111527,111527,47797,66.95031952099998,12.522152680999625,79.47247220199961,20,,,,,,,,,,,,,,,,42.0,et,enriched,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v5,4_ml,5,-105.0,25867,9610,7346,4974,0.7291202751078163,0.8387211828410233,0.7800898700202056,0.69487624746323,111527,111527,47797,0.8526765720002913,0.13301500300030966,0.985691575000601,20,,,,,,,,,,,,,,,,42.0,gb,baseline,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v6,4_ml,6,-105.0,25867,9610,7346,4974,0.7291202751078163,0.8387211828410233,0.7800898700202056,0.69487624746323,111527,111527,47797,1.501658794999912,0.1339734650000537,1.6356322599999658,20,,,,,,,,,,,,,,,,42.0,gb,enriched,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v1,4_ml,1,-110.0,37053,7482,1354,1908,0.831997305490064,0.951027951027951,0.8875395228513939,0.8035441554909304,111527,111527,47797,97.89659374099983,15.593182055000398,113.48977579600023,20,,,,,,,,,,,,,,,,42.0,rf,baseline,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v2,4_ml,2,-110.0,37053,7482,1354,1908,0.831997305490064,0.951027951027951,0.8875395228513939,0.8035441554909304,111527,111527,47797,90.85557519099984,24.73027368000021,115.58584887100005,20,,,,,,,,,,,,,,,,42.0,rf,enriched,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v3,4_ml,3,-110.0,37040,7464,1372,1921,0.8322847384504763,0.9506942840276174,0.8875576588989397,0.8036487645668138,111527,111527,47797,93.01900374399975,21.730110581999725,114.74911432599947,20,,,,,,,,,,,,,,,,42.0,et,baseline,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v4,4_ml,4,-110.0,37040,7464,1372,1921,0.8322847384504763,0.9506942840276174,0.8875576588989397,0.8036487645668138,111527,111527,47797,70.48607229499976,14.866033266000159,85.35210556099992,20,,,,,,,,,,,,,,,,42.0,et,enriched,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v5,4_ml,5,-110.0,37040,7464,1372,1921,0.8322847384504763,0.9506942840276174,0.8875576588989397,0.8036487645668138,111527,111527,47797,0.8428519039998719,0.13154657399991265,0.9743984779997845,20,,,,,,,,,,,,,,,,42.0,gb,baseline,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
4_ml_v6,4_ml,6,-110.0,37040,7464,1372,1921,0.8322847384504763,0.9506942840276174,0.8875576588989397,0.8036487645668138,111527,111527,47797,1.5369741300000896,0.13386019299923646,1.670834322999326,20,,,,,,,,,,,,,,,,42.0,gb,enriched,120.0,8.0,3.0,2.0,0.1,1.0,1.0,,False,100.0,100.0
